Registro_ID,Año,Trimestre,Ingresos_VFR,Ingresos_Satelital,TiempoTrim_ID,Periodo,Ingresos_Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
22,2019,4,22785446.51,12150588.86,20194,2019Q4,34936035.370000005,65.22047012113498,34.779529878865006,12.32806711435044,49.79341746084847,19735469.6875,11.512192452324488,46.9082133662529,10450220.997499999,12.042959137184273,48.77719094016526,30185690.685000002
21,2020,1,25147465.8,12352763.88,20201,2020Q1,37500229.68,67.0594980739862,32.9405019260138,10.366350683377501,43.86840568246875,21652463.252499998,1.663911291291953,40.10986349952177,11334290.935,7.339683174816969,42.60824603204387,32986754.1875
20,2020,2,24620009.49,12544725.93,20202,2020Q2,37164735.42,66.24562024125396,33.75437975874604,-2.0974531358145976,33.861075963485085,23209413.2575,1.5540008039075293,26.234795521900246,11986069.0725,-0.8946458804729107,31.18590828039718,35195482.33
19,2020,3,25386154.6,12933200.33,20203,2020Q3,38319354.93,66.2489090601192,33.751090939880804,3.1118798321795538,25.149080419933178,24484769.1,3.0967149236077463,18.694619729189533,12495319.75,3.1067610113501454,22.89356457063978,36980088.85
18,2020,4,26324098.62,14479622.62,20204,2020Q4,40803721.24,64.51396544243228,35.48603455756772,3.6947069565234525,15.53031716296176,25369432.1275,11.95699633920384,19.16807314308222,13077578.19,6.483319759788042,16.795511590987932,38447010.3175
17,2021,1,31924515.01,18038360.96,20211,2021Q1,49962875.97,63.89647191080222,36.10352808919779,21.274864795351544,26.949233230491167,27063694.430000003,24.577562781812357,46.02692268088588,14498977.459999999,22.446861344159096,33.23351989133736,41562671.89
16,2021,2,33674995.79,18038442.36,20212,2021Q2,51713438.15,65.11846242425867,34.881537575741326,5.483186759302927,36.77897160713077,29327441.005,0.00045126051184674054,43.79303669649799,15872406.567499999,3.5037258084404943,39.14652577392139,45199847.5725
15,2021,3,36398025.53,18039519.5,20213,2021Q3,54437545.03,66.86198929422957,33.138010705770434,8.086206623398073,43.37746737743415,32080408.7375,0.005971358161116491,39.48225527872884,17148986.36,5.267696323146143,42.06279079969888,49229395.0975
14,2021,4,38273391.8,18038065.44,20214,2021Q4,56311457.239999995,67.96732614621997,32.03267385378003,5.152384621672068,45.392981360894154,35067732.0325,-0.008060414247723635,24.575521844643223,18038597.065,3.4423157932035764,38.00569048294966,53106329.0975
13,2022,1,42113438.81,21268086.24,20221,2022Q1,63381525.05,66.44434443124844,33.555655568751575,10.03320277979649,31.915672945410243,37614962.9825,17.906691883029314,17.904760233825566,18846028.384999998,12.55529186514799,26.857239139030288,56460991.3675
12,2022,2,46322065.49,23559484.83,20222,2022Q2,69881550.32,66.28654527251193,33.71345472748808,9.99354790044038,37.55626215625432,40776730.4075,10.773882351908304,30.607091010490105,20226289.002499998,10.255394241259253,35.13228441184197,61003019.41
11,2022,3,52399891.49,27073190.89,20223,2022Q3,79473082.38,65.93413759825029,34.06586240174972,13.12080093084813,43.963554964845365,44777196.8975,14.914188851556487,50.07711757511058,22484706.85,13.725413955584376,45.98946799713901,67261903.7475
10,2022,4,62432903.15,29721126.94,20224,2022Q4,92154030.09,67.74842412103564,32.25157587896436,19.147008466448256,63.12351796842841,50817074.73500001,9.78065740665266,64.76892734900733,25405472.225,15.956280202353469,63.65058658886878,76222546.96
9,2023,1,74739351.28,33430741.33,20231,2023Q1,108170092.61,69.09428426715665,30.90571573284336,19.71147825759887,77.4714993406163,58973552.8525,12.481405558708602,57.18735081638451,28446135.9975,17.379665875011963,70.66502032677109,87419688.85
8,2023,2,87015368.63,38625145.74,20232,2023Q2,125640514.37,69.25741196326813,30.742588036731867,16.425105569902133,87.84863694988915,69146878.6375,15.537808027423727,63.94732745096279,32212551.224999998,16.150879913719262,79.79067979269183,101359429.8625
7,2023,3,103738032.8,51179479.92,20233,2023Q3,154917512.72,66.96339941081905,33.036600589180956,19.21805818131601,97.97375500252204,81981413.965,32.50300792263108,89.04118146968823,38239123.4825,23.302195551175366,94.93079679389179,120220537.4475
6,2023,4,133582200.8,64748818.98,20234,2023Q4,198331019.78,67.35315582412521,32.64684417587478,28.768781510959982,113.96121926135353,99768738.3775,26.513241403020494,117.85452183799325,46996046.4925,28.02362773437124,115.21687069605618,146764784.87
5,2024,1,191632856.37,94270533.97,20241,2024Q1,285903390.34000003,67.02713673388332,32.97286326611666,43.45687915182186,156.40155164322428,128992114.65,45.594213848315675,181.9875665916021,62205994.6525,44.1546514797031,164.30909269053276,191198109.3025
4,2024,2,267412475.3,124814891.6,20242,2024Q2,392227366.9,68.17792379290503,31.822076207094973,39.54416813768438,207.31637354439147,174091391.3175,32.400747448529586,223.1441311320214,83753431.1175,37.188777801325855,212.18223585500908,257844822.435
3,2024,3,304976798.55,142478707.79,20243,2024Q3,447455506.34000003,68.15801665836754,31.841983341632464,14.047333882930468,193.98745119639477,224401082.755,14.152010199718834,178.3903001998305,106578238.085,14.080644060229663,188.8346827183684,330979320.84000003
2,2024,4,331442809.58,143311787.92,20244,2024Q4,474754597.5,69.81350182290757,30.186498177092425,8.678040806983201,148.1189915984675,273866234.95,0.5847050011345445,121.33498367633084,126218980.32,6.100962167902502,139.3748582680736,400085215.27
1,2025,1,350120579.8,149937594.05,20251,2025Q1,500058173.85,70.01596976295481,29.98403023704519,5.635292026298067,82.70383609165424,313488165.8075,4.623350406945392,59.05032859760306,140135745.34,5.3298222878189305,74.90459740800006,453623911.1475
