Registro_ID,Año,Trimestre,TV_VFR,TV_Satelital,TiempoTrim_ID,Periodo,Total,share_vfr_%,share_sat_%,VFR_QoQ_%,VFR_YoY_%,VFR_MM4,Sat_QoQ_%,Sat_YoY_%,Sat_MM4,Total_QoQ_%,Total_YoY_%,Total_MM4
13,2022,1,7564827,2049628,20221,2022Q1,9614455,78.68180775717396,21.318192242826036,-0.42032403822788167,2.9655715543379424,7542887.0,1.9605346089501818,-9.382873791644464,2133361.25,0.07786009644035197,0.058821062311298355,9676248.25
12,2022,2,7647584,2064637,20222,2022Q2,9712221,78.74186553209611,21.25813446790389,1.093970820482748,4.288967064412708,7621515.25,0.7322792233517506,-11.237693081212663,2068013.25,1.0168647104802142,0.5499580706276985,9689528.5
11,2022,3,7665931,2064699,20223,2022Q3,9730630,78.78144580566726,21.218554194332743,0.23990583169795077,-0.14277913509790352,7618775.0,0.0030029491867145097,-3.8588712550132187,2047295.25,0.1895446983753768,-0.9550954591614813,9666070.25
10,2022,4,7680025,1837878,20224,2022Q4,9517903,80.69030541706508,19.309694582934917,0.1838524244478501,1.0960859882597207,7639591.75,-10.98566909752947,-8.573154042573517,2004210.5,-2.1861585529405647,-0.9271596938682625,9643802.25
9,2023,1,7770412,1766221,20231,2023Q1,9536633,81.47961654810456,18.520383451895444,1.1769102314119984,2.717643113319057,7690988.0,-3.898898621127189,-13.827240845655897,1933358.75,0.19678704437311456,-0.8094270554077188,9624346.75
8,2023,2,8076400,1735655,20232,2023Q2,9812055,82.31099397628732,17.68900602371267,3.9378606951600448,5.607208760309135,7798192.0,-1.7305875085847133,-15.934132731322748,1851113.25,2.888042352054443,1.0279214198276598,9649305.25
7,2023,3,7743735,1683205,20233,2023Q3,9426940,82.14473625587942,17.855263744120574,-4.118976276558861,1.014932171969729,7817643.0,-3.021913917224328,-18.47697896884728,1755739.75,-3.924916849732296,-3.1209695569557216,9573382.75
6,2023,4,7650809,1508789,20234,2023Q4,9159598,83.52778145940466,16.47221854059534,-1.200015238124752,-0.38041542833519015,7810339.0,-10.362136519318799,-17.90592193823529,1673467.5,-2.835936157438146,-3.7645372095092777,9483806.5
5,2024,1,7601499,1445205,20241,2024Q1,9046704,84.02506592456214,15.97493407543786,-0.644507005729722,-2.173797219503937,7768110.75,-4.214240692369842,-18.175301958248713,1593213.5,-1.2325213399103307,-5.137337255192687,9361324.25
4,2024,2,7454428,1367489,20242,2024Q2,8821917,84.49895867304124,15.501041326958756,-1.9347631302720658,-7.701104452478824,7612617.75,-5.377506997277203,-21.211934399405408,1501172.0,-2.484739193412322,-10.091035975644246,9113789.75
3,2024,3,7551552,1170791,20243,2024Q3,8722343,86.5771043399692,13.422895660030798,1.3029034555032348,-2.4817868896598316,7564572.0,-14.383881698499955,-30.442756526982752,1373068.5,-1.1287115940900372,-7.47429176381732,8937640.5
2,2024,4,7628773,1068833,20244,2024Q4,8697606,87.71118167458954,12.288818325410464,1.0225844965379371,-0.2880218288026759,7559063.0,-8.708471452206245,-29.159544508874337,1263079.5,-0.283604990081221,-5.043802140661635,8822142.5
1,2025,1,7587263,1068697,20251,2025Q1,8655960,87.65362825151686,12.346371748483126,-0.5441241992650725,-0.1872788511844803,7555504.0,-0.01272415803029725,-26.052220965191786,1168952.5,-0.47882141361657027,-4.319186302547317,8724456.5
