Registro_ID,Provincia_ID,Año,Trimestre,Provincias,Accesos telefonía fija cada 100 hab,Accesos telefonía fija cada 100 hogares,TiempoTrim_ID,Periodo,PenHab_QoQ_%,PenHab_YoY_%,PenHog_QoQ_%,PenHog_YoY_%
31,18,2024,4,San Juan,6.11,25.24,20244,2024Q4,-16.757493188010898,-10.410557184750735,-16.809492419248517,-5.680119581464882
7,18,2025,1,San Juan,6.88,28.44,20251,2025Q1,12.60229132569557,-6.77506775067751,12.678288431061823,-6.754098360655735
1062,19,2014,1,San Luis,10.92,38.17,20141,2014Q1,,,,
1038,19,2014,2,San Luis,10.89,38.03,20142,2014Q2,-0.27472527472527375,,-0.3667801938695314,
1014,19,2014,3,San Luis,10.78,37.67,20143,2014Q3,-1.0101010101010166,,-0.9466210886142523,
990,19,2014,4,San Luis,10.84,37.88,20144,2014Q4,0.5565862708719838,,0.5574727900185872,
966,19,2015,1,San Luis,10.97,38.34,20151,2015Q1,1.1992619926199266,0.45787545787545625,1.2143611404435095,0.44537594969871197
942,19,2015,2,San Luis,11.11,38.81,20152,2015Q2,1.2762078395624377,2.020202020202011,1.2258737610850279,2.051012358664206
918,19,2015,3,San Luis,11.12,38.84,20153,2015Q3,0.09000900090008201,3.153988868274582,0.07729966503478014,3.105919830103532
894,19,2015,4,San Luis,11.07,38.67,20154,2015Q4,-0.4496402877697703,2.121771217712176,-0.43769309989701854,2.0855332629355905
870,19,2016,1,San Luis,11.19,39.11,20161,2016Q1,1.0840108401083848,2.0054694621695512,1.1378329454357239,2.008346374543546
846,19,2016,2,San Luis,11.03,38.53,20162,2016Q2,-1.429848078641649,-0.7200720072007227,-1.4829966760419255,-0.7214635403246628
822,19,2016,3,San Luis,11.12,38.84,20163,2016Q3,0.8159564823209342,0.0,0.8045678691928515,0.0
798,19,2016,4,San Luis,11.08,38.72,20164,2016Q4,-0.3597122302158251,0.09033423667570428,-0.308959835221434,0.12929919834496761
774,19,2017,1,San Luis,11.19,39.11,20171,2017Q1,0.9927797833934937,0.0,1.0072314049586861,0.0
750,19,2017,2,San Luis,11.03,38.53,20172,2017Q2,-1.429848078641649,0.0,-1.4829966760419255,0.0
726,19,2017,3,San Luis,11.12,38.84,20173,2017Q3,0.8159564823209342,0.0,0.8045678691928515,0.0
702,19,2017,4,San Luis,11.08,38.72,20174,2017Q4,-0.3597122302158251,0.0,-0.308959835221434,0.0
678,19,2018,1,San Luis,8.98,31.38,20181,2018Q1,-18.953068592057754,-19.7497765862377,-18.95661157024794,-19.7647660444899
