99;Catamarca;Catamarca;2015-T1;2015;1;25312;200;25332;25.11;6.40;25033;241;16;1;41;25332;13;7634;13754;3202;517;9;1;0;25130;3.48
100;Chaco;Chaco;2015-T1;2015;1;81329;310;81360;26.65;7.14;54952;26161;164;27;56;81360;26;12053;47425;15883;5346;489;135;0;81357;4.90
101;Chubut;Chubut;2015-T1;2015;1;63327;1946;65273;37.61;11.59;45645;717;906;12540;5465;65273;651;6176;57333;102;0;0;0;0;64262;3.21
102;Córdoba;Córdoba;2015-T1;2015;1;596663;2940;596957;54.70;16.79;343883;247564;415;4645;450;596957;157;78427;432802;46574;37443;1615;815;0;597833;4.30
103;Corrientes;Corrientes;2015-T1;2015;1;81488;430;81531;28.95;7.64;54649;25372;129;1319;62;81531;36;13295;47842;15554;4424;235;98;0;81484;4.63
104;Entre Ríos;Entre Ríos;2015-T1;2015;1;165839;2310;166070;42.07;12.61;112363;47411;108;5943;245;166070;2867;23951;104168;28113;6926;274;119;0;166418;4.35
105;Formosa;Formosa;2015-T1;2015;1;26657;430;26700;18.12;4.62;21022;4951;1;670;56;26700;1891;7336;14413;2024;878;157;1;0;26700;3.38
106;Jujuy;Jujuy;2015-T1;2015;1;36608;30;36611;19.69;5.05;31505;5048;22;0;36;36611;2458;9754;19858;3939;603;0;0;0;36612;3.24
107;La Pampa;La Pampa;2015-T1;2015;1;62155;5420;62697;55.51;18.33;13143;39571;3215;6164;604;62697;6059;8054;45038;26;10;13;10;0;59210;2.83
108;La Rioja;La Rioja;2015-T1;2015;1;16310;230;16333;16.70;4.46;16282;0;16;2;33;16333;11;4201;9379;2207;533;0;3;0;16334;3.78
109;Mendoza;Mendoza;2015-T1;2015;1;168355;1805;170160;32.37;9.06;152433;13030;2542;29;2126;170160;287;24;169763;38;16;6;11;0;170145;3.50
110;Misiones;Misiones;2015-T1;2015;1;85139;70;85146;26.31;7.19;58262;26836;30;5;13;85146;958;11136;51906;12387;8543;194;26;0;85150;4.97
111;Neuquén;Neuquén;2015-T1;2015;1;93373;2369;95742;51.95;15.53;47518;32152;1024;12088;2960;95742;1895;2577;80787;170;4067;2;76;0;89574;3.91
112;Río Negro;Río Negro;2015-T1;2015;1;96145;1188;97333;45.33;13.99;66274;25217;907;3473;1462;97333;3371;4913;86173;94;2632;2;42;0;97227;3.59
113;Salta;Salta;2015-T1;2015;1;96793;180;96811;30.01;7.29;76280;19781;47;129;574;96811;1123;14151;64992;13955;2569;15;5;0;96810;4.02
114;San Juan;San Juan;2015-T1;2015;1;51117;7020;51819;27.55;7.04;48441;451;755;1165;1007;51819;8;445;51346;0;0;0;2;0;51801;3.48
115;San Luis;San Luis;2015-T1;2015;1;12878;3540;13232;9.72;2.79;11414;1025;351;30;412;13232;10;8;12720;0;1;0;2;0;12741;3.50
116;Santa Cruz;Santa Cruz;2015-T1;2015;1;26217;4240;26641;27.99;8.39;16215;2700;392;4772;2562;26641;205;27;26048;2;0;0;0;0;26282;3.47
