ID_Penetracion;ID_Periodo;ID_Provincias;Accesos_telefonía_fija_cada_100_hab;Accesos_telefonía_fija_cada_100_hogares;Hogares;Comercial;Gobierno;Otros;Total
290;2022-T4;CABA;50,8;122,73;1400437;131928;6010;24767;1563142
291;2022-T4;Catamarca;6,02;23,65;22473;2117;96;397;25083
292;2022-T4;Chaco;5,35;20,01;57950;5459;249;1025;64683
293;2022-T4;Chubut;8,7;28,4;48601;4579;209;860;54249
294;2022-T4;Córdoba;13,11;42,82;443560;41786;1904;7845;495095
295;2022-T4;Corrientes;7,91;30,06;79748;7513;342;1410;89013
296;2022-T4;Entre Ríos;11,51;38,5;143480;13517;616;2538;160151
297;2022-T4;Formosa;5,79;22,77;31523;2970;135;558;35186
298;2022-T4;Jujuy;4,6;18,01;31944;3009;137;565;35655
299;2022-T4;La Pampa;18,45;55,99;59445;5600;255;1051;66351
300;2022-T4;La Rioja;6,47;24,29;22924;2159;98;405;25586
301;2022-T4;Mendoza;8,15;29,21;145977;13752;627;2582;162938
302;2022-T4;Misiones;6,03;22,12;68398;6444;294;1210;76346
303;2022-T4;Neuquén;10,29;34,57;61543;5798;264;1088;68693
304;2022-T4;Río Negro;8,96;29,14;60348;5685;259;1067;67359
305;2022-T4;Salta;6,03;24,91;77373;7289;332;1368;86362
306;2022-T4;San Juan;6,73;26,42;47306;4457;203;837;52803
307;2022-T4;San Luis;5,42;18,95;24822;2338;107;439;27706
308;2022-T4;Santa Cruz;6,22;20,91;20594;1940;88;364;22986
309;2022-T4;Santa Fe;13,83;43,97;439437;41397;1886;7772;490492
310;2022-T4;Santiago del Estero;6,61;26,62;58153;5478;250;1028;64909
311;2022-T4;Tierra del Fuego;8,47;28,56;13289;1252;57;235;14833
312;2022-T4;Tucumán;9,56;38,6;145875;13742;626;2580;162823
313;2021-T1;Buenos Aires;18,32;55,58;2874157;247958;15146;66500;3203761
314;2021-T1;CABA;45,39;109,28;1252044;108016;6598;28969;1395627
315;2021-T1;Catamarca;6,42;25,24;23860;2059;126;552;26597
316;2021-T1;Chaco;6,32;23,63;68032;5869;359;1574;75834
317;2021-T1;Chubut;11,87;38,72;65551;5655;345;1517;73068
318;2021-T1;Córdoba;13,98;45,65;469865;40536;2476;10871;523748
319;2021-T1;Corrientes;7,06;26,79;70737;6103;373;1637;78850
320;2021-T1;Entre Ríos;12,19;40,77;151117;13037;796;3496;168446
321;2021-T1;Formosa;5,18;20,35;28048;2420;148;649;31265
322;2021-T1;Jujuy;5,59;21,87;38534;3324;203;892;42953
323;2021-T1;La Pampa;19,91;60,42;63832;5507;336;1477;71152
324;2021-T1;La Rioja;6,19;23,25;21759;1877;115;503;24254
325;2021-T1;Mendoza;9,9;35,47;176118;15194;928;4075;196315
326;2021-T1;Misiones;6,53;23,98;73632;6352;388;1704;82076
327;2021-T1;Neuquén;11,25;37,8;66749;5759;352;1544;74404
328;2021-T1;Río Negro;11,1;36,1;74164;6398;391;1716;82669
329;2021-T1;Salta;6,78;28,01;86315;7447;455;1997;96214
330;2021-T1;San Juan;9,61;37,74;67138;5792;354;1553;74837
331;2021-T1;San Luis;6,8;23,77;30888;2665;163;715;34431
332;2021-T1;Santa Cruz;7,43;24,95;24160;2084;127;559;26930
333;2021-T1;Santa Fe;16,16;51,4;511464;44125;2695;11834;570118
334;2021-T1;Santiago del Estero;6,38;25,69;55762;4811;294;1290;62157
335;2021-T1;Tierra del Fuego;12,54;42,3;19353;1670;102;448;21573
336;2021-T1;Tucumán;9,67;39,03;146397;12630;771;3387;163185
337;2021-T2;Buenos Aires;13,65;41,31;3012453;234051;14886;51980;3313370
338;2021-T2;CABA;27,67;66,68;1308400;101656;6465;22576;1439097
339;2021-T2;Catamarca;6,44;25,34;26944;2093;133;465;29635
340;2021-T2;Chaco;6,3;23,56;82580;6416;408;1425;90829
341;2021-T2;Chubut;11,82;38,57;62015;4818;306;1070;68209
342;2021-T2;Córdoba;13,31;43,49;530703;41233;2622;9157;583715
343;2021-T2;Corrientes;7,19;27,3;89073;6921;440;1537;97971
344;2021-T2;Entre Ríos;12,17;40,7;188688;14660;932;3256;207536
345;2021-T2;Formosa;5,31;20,86;33104;2572;164;571;36411
346;2021-T2;Jujuy;4,77;18,67;40239;3126;199;694;44258
347;2021-T2;La Pampa;19,91;60,42;65235;5068;322;1126;71751
348;2021-T2;La Rioja;5,69;21,37;24334;1891;120;420;26765
349;2021-T2;Mendoza;9,86;35,33;185947;14447;919;3209;204522
350;2021-T2;Misiones;6,45;23,67;89666;6966;443;1547;98622
351;2021-T2;Neuquén;11,2;37,63;66022;5129;326;1139;72616
352;2021-T2;Río Negro;11,26;36,6;78450;6095;388;1354;86287
353;2021-T2;Salta;6,76;27,92;109367;8497;540;1887;120291
354;2021-T2;San Juan;9,59;37,64;60580;4707;299;1045;66631
355;2021-T2;San Luis;6,78;23,69;30022;2332;148;518;33020
356;2021-T2;Santa Cruz;7,39;24,84;25220;1960;125;435;27740
357;2021-T2;Santa Fe;15,71;49,96;596238;46324;2946;10288;655796
358;2021-T2;Santiago del Estero;6,02;24,26;60596;4708;299;1046;66649
359;2021-T2;Tierra del Fuego;12,46;42,04;17217;1338;85;297;18937
360;2021-T2;Tucumán;8,27;33,37;150653;11705;744;2600;165702
361;2021-T3;Buenos Aires;18,01;54,38;2852029;242423;15465;54601;3164518
362;2021-T3;CABA;44,45;107,27;1232448;104759;6683;23595;1367485
363;2021-T3;Catamarca;5,93;23,32;22245;1891;121;426;24683
364;2021-T3;Chaco;6,11;22,88;66485;5651;361;1273;73770
365;2021-T3;Chubut;11,77;38,41;65869;5599;357;1261;73086
366;2021-T3;Córdoba;12,85;41,97;436222;37079;2365;8351;484017
367;2021-T3;Corrientes;6,95;26,41;70346;5979;381;1347;78053
368;2021-T3;Entre Ríos;11,82;39,52;147826;12565;802;2830;164023
369;2021-T3;Formosa;5,03;19,76;27462;2334;149;526;30471
370;2021-T3;Jujuy;4,55;17,8;31688;2693;172;607;35160
371;2021-T3;La Pampa;19,98;60,65;64644;5495;351;1238;71728
372;2021-T3;La Rioja;5,48;20,59;19479;1656;106;373;21614
373;2021-T3;Mendoza;9,83;35,23;176671;15017;958;3382;196028
374;2021-T3;Misiones;6,24;22,92;71080;6042;385;1361;78868
375;2021-T3;Neuquén;11,15;37,46;66876;5684;363;1280;74203
376;2021-T3;Río Negro;11,18;36,33;75456;6414;409;1445;83724
377;2021-T3;Salta;6,57;27,14;84554;7187;458;1619;93818
378;2021-T3;San Juan;9,56;37,54;67447;5733;366;1291;74837
379;2021-T3;San Luis;6,76;23,62;31031;2638;168;594;34431
