Año,Trimestre,Provincia,Banda Ancha Fija,Dial Up,Total,Periodo
2022,2,Santa Fe,878749,1100,878859,2022-T2
2022,2,Santiago Del Estero,118042,20,118044,2022-T2
2022,2,Tierra Del Fuego,53458,3120,53770,2022-T2
2022,2,Tucumán,254497,300,254527,2022-T2
2022,1,Buenos Aires,4549131,6293,4555424,2022-T1
2022,1,CABA,1415378,2163,1417541,2022-T1
2022,1,Catamarca,62377,10,62378,2022-T1
2022,1,Chaco,144114,50,144119,2022-T1
2022,1,Chubut,170701,9270,171628,2022-T1
2022,1,Córdoba,1003729,740,1003803,2022-T1
2022,1,Corrientes,142574,40,142578,2022-T1
2022,1,Entre Ríos,267904,220,267926,2022-T1
2022,1,Formosa,54548,0,54548,2022-T1
2022,1,Jujuy,116509,0,116509,2022-T1
2022,1,La Pampa,109560,1720,109732,2022-T1
2022,1,La Rioja,84299,40,84303,2022-T1
2022,1,Mendoza,274399,7860,275185,2022-T1
2022,1,Misiones,171508,0,171508,2022-T1
2022,1,Neuquén,149208,4710,149679,2022-T1
2022,1,Río Negro,156821,5530,157374,2022-T1
2022,1,Salta,197510,50,197515,2022-T1
2022,1,San Juan,87888,2900,88178,2022-T1
2022,1,San Luis,119659,1850,119844,2022-T1
2022,1,Santa Cruz,48898,2040,49102,2022-T1
2022,1,Santa Fe,870364,1150,870479,2022-T1
2022,1,Santiago Del Estero,116459,20,116461,2022-T1
2022,1,Tierra Del Fuego,52298,3130,52611,2022-T1
2022,1,Tucumán,245554,300,245584,2022-T1
2021,4,Buenos Aires,4502772,6385,4509157,2021-T4
2021,4,CABA,1409935,2184,1412119,2021-T4
2021,4,Catamarca,59089,10,59090,2021-T4
2021,4,Chaco,143740,50,143745,2021-T4
2021,4,Chubut,159364,9440,160308,2021-T4
2021,4,Córdoba,986693,770,986770,2021-T4
2021,4,Corrientes,135908,40,135912,2021-T4
2021,4,Entre Ríos,265024,220,265046,2021-T4
2021,4,Formosa,53663,0,53663,2021-T4
2021,4,Jujuy,113915,0,113915,2021-T4
2021,4,La Pampa,106834,1730,107007,2021-T4
2021,4,La Rioja,83124,40,83128,2021-T4
2021,4,Mendoza,266783,8040,267587,2021-T4
2021,4,Misiones,171132,0,171132,2021-T4
2021,4,Neuquén,146989,4770,147466,2021-T4
2021,4,Río Negro,153189,5640,153753,2021-T4
2021,4,Salta,199399,60,199405,2021-T4
2021,4,San Juan,79667,2910,79958,2021-T4
2021,4,San Luis,118662,1870,118849,2021-T4
2021,4,Santa Cruz,48276,2100,48486,2021-T4
2021,4,Santa Fe,866265,1760,866441,2021-T4
2021,4,Santiago Del Estero,115859,20,115861,2021-T4
2021,4,Tierra Del Fuego,52042,3150,52357,2021-T4
2021,4,Tucumán,238609,300,238639,2021-T4
2021,3,Buenos Aires,4246425,5184,4251609,2021-T3
2021,3,CABA,1411797,1608,1413405,2021-T3
2021,3,Catamarca,56253,10,56254,2021-T3
2021,3,Chaco,139868,30,139871,2021-T3
2021,3,Chubut,155266,8000,156066,2021-T3
2021,3,Córdoba,946726,620,946788,2021-T3
2021,3,Corrientes,133816,30,133819,2021-T3
2021,3,Entre Ríos,260360,150,260375,2021-T3
2021,3,Formosa,52795,0,52795,2021-T3
2021,3,Jujuy,111158,0,111158,2021-T3
2021,3,La Pampa,100371,1160,100487,2021-T3
2021,3,La Rioja,82157,30,82160,2021-T3
2021,3,Mendoza,255320,6190,255939,2021-T3
2021,3,Misiones,158528,0,158528,2021-T3
2021,3,Neuquén,139436,3730,139809,2021-T3
2021,3,Río Negro,144084,5010,144585,2021-T3
2021,3,Salta,195831,20,195833,2021-T3
2021,3,San Juan,79227,2560,79483,2021-T3
2021,3,San Luis,117716,1480,117864,2021-T3
2021,3,Santa Cruz,48779,1970,48976,2021-T3
2021,3,Santa Fe,841433,1510,841584,2021-T3
2021,3,Santiago Del Estero,115457,10,115458,2021-T3
2021,3,Tierra Del Fuego,49934,2890,50223,2021-T3
2021,3,Tucumán,232447,250,232472,2021-T3
2021,2,Buenos Aires,4127167,5184,4132351,2021-T2
2021,2,CABA,1398747,1608,1400355,2021-T2
2021,2,Catamarca,55743,10,55744,2021-T2
