"Año","Trimestre","Provincias","Accesos cada 100 Hogares","Accesos cada 100 Habitantes"
"2021","1","Santiago Del Estero","45,67","11,33"
"2021","1","Tierra Del Fuego","77,35","22,93"
"2021","1","Tucumán","54,82","13,58"
"2020","4","Buenos Aires","68,98","22,90"
"2020","4","CABA","108,31","44,83"
"2020","4","Catamarca","49,41","12,57"
"2020","4","Chaco","43,03","11,50"
"2020","4","Chubut","68,35","20,95"
"2020","4","Córdoba","78,08","23,90"
"2020","4","Corrientes","42,43","11,17"
"2020","4","Entre Ríos","59,47","17,78"
"2020","4","Formosa","32,49","8,27"
"2020","4","Jujuy","53,46","13,67"
"2020","4","La Pampa","81,77","26,94"
"2020","4","La Rioja","50,11","13,34"
"2020","4","Mendoza","38,63","10,78"
"2020","4","Misiones","42,64","11,61"
"2020","4","Neuquén","67,00","19,94"
"2020","4","Río Negro","61,09","18,79"
"2020","4","Salta","54,04","13,09"
"2020","4","San Juan","36,32","9,25"
"2020","4","San Luis","81,68","23,38"
"2020","4","Santa Cruz","37,00","11,01"
"2020","4","Santa Fe","73,58","23,14"
"2020","4","Santiago Del Estero","43,75","10,86"
"2020","4","Tierra Del Fuego","76,27","22,61"
"2020","4","Tucumán","54,78","13,57"
"2020","3","Buenos Aires","67,66","22,41"
"2020","3","CABA","107,68","44,62"
"2020","3","Catamarca","47,16","12,00"
"2020","3","Chaco","41,54","11,10"
"2020","3","Chubut","68,34","20,95"
"2020","3","Córdoba","75,22","23,03"
"2020","3","Corrientes","41,75","10,99"
"2020","3","Entre Ríos","58,19","17,40"
"2020","3","Formosa","31,91","8,12"
"2020","3","Jujuy","54,04","13,82"
"2020","3","La Pampa","79,26","26,12"
"2020","3","La Rioja","50,12","13,34"
"2020","3","Mendoza","37,35","10,42"
"2020","3","Misiones","41,60","11,33"
"2020","3","Neuquén","65,24","19,42"
"2020","3","Río Negro","57,05","17,55"
"2020","3","Salta","52,32","12,67"
"2020","3","San Juan","38,79","9,88"
"2020","3","San Luis","79,96","22,88"
"2020","3","Santa Cruz","35,95","10,70"
"2020","3","Santa Fe","72,12","22,68"
"2020","3","Santiago Del Estero","43,38","10,76"
"2020","3","Tierra Del Fuego","76,81","22,77"
"2020","3","Tucumán","53,23","13,18"
"2020","2","Buenos Aires","65,22","21,55"
"2020","2","CABA","106,41","44,15"
"2020","2","Catamarca","45,43","11,56"
"2020","2","Chaco","39,83","10,65"
"2020","2","Chubut","57,34","17,58"
"2020","2","Córdoba","72,71","22,26"
"2020","2","Corrientes","40,30","10,61"
"2020","2","Entre Ríos","56,54","16,90"
"2020","2","Formosa","31,14","7,93"
"2020","2","Jujuy","47,89","12,25"
"2020","2","La Pampa","76,10","25,07"
"2020","2","La Rioja","49,84","13,27"
"2020","2","Mendoza","36,25","10,12"
"2020","2","Misiones","40,89","11,14"
"2020","2","Neuquén","63,90","19,02"
"2020","2","Río Negro","56,37","17,34"
"2020","2","Salta","51,58","12,49"
"2020","2","San Juan","35,09","8,94"
"2020","2","San Luis","78,41","22,44"
"2020","2","Santa Cruz","35,79","10,65"
"2020","2","Santa Fe","70,00","22,01"
"2020","2","Santiago Del Estero","43,47","10,79"
"2020","2","Tierra Del Fuego","76,37","22,64"
"2020","2","Tucumán","51,78","12,83"
"2020","1","Buenos Aires","64,33","21,21"
"2020","1","CABA","105,98","44,02"
"2020","1","Catamarca","37,62","9,57"
"2020","1","Chaco","37,48","10,02"
"2020","1","Chubut","51,27","15,72"
"2020","1","Córdoba","70,69","21,64"
"2020","1","Corrientes","38,73","10,20"
"2020","1","Entre Ríos","56,12","16,78"
"2020","1","Formosa","30,23","7,69"
"2020","1","Jujuy","46,67","11,93"
"2020","1","La Pampa","75,77","24,96"
"2020","1","La Rioja","46,35","12,34"
"2020","1","Mendoza","33,14","9,25"
"2020","1","Misiones","39,02","10,63"
"2020","1","Neuquén","61,85","18,41"
"2020","1","Río Negro","55,12","16,95"
"2020","1","Salta","49,60","12,01"
"2020","1","San Juan","32,39","8,25"
"2020","1","San Luis","76,31","21,84"
"2020","1","Santa Cruz","35,97","10,70"
"2020","1","Santa Fe","69,52","21,86"
"2020","1","Santiago Del Estero","42,47","10,54"
"2020","1","Tierra Del Fuego","76,07","22,55"
"2020","1","Tucumán","47,85","11,85"
"2019","4","Buenos Aires","64,25","21,14"
"2019","4","CABA","106,25","44,19"
"2019","4","Catamarca","36,44","9,27"
"2019","4","Chaco","36,84","9,85"
"2019","4","Chubut","51,15","15,68"
"2019","4","Córdoba","70,48","21,58"
"2019","4","Corrientes","38,77","10,21"
"2019","4","Entre Ríos","57,99","17,34"
"2019","4","Formosa","30,47","7,76"
"2019","4","Jujuy","45,38","11,60"
"2019","4","La Pampa","76,92","25,34"
"2019","4","La Rioja","47,14","12,55"
"2019","4","Mendoza","33,65","9,39"
"2019","4","Misiones","39,79","10,84"
"2019","4","Neuquén","59,36","17,67"
"2019","4","Río Negro","55,71","17,13"
"2019","4","Salta","50,35","12,20"
"2019","4","San Juan","32,85","8,37"
"2019","4","San Luis","74,92","21,44"
"2019","4","Santa Cruz","36,71","10,92"
"2019","4","Santa Fe","69,48","21,85"
"2019","4","Santiago Del Estero","42,92","10,65"
"2019","4","Tierra Del Fuego","79,70","23,63"
"2019","4","Tucumán","47,65","11,80"
"2019","3","Buenos Aires","69,36","22,76"
"2019","3","CABA","112,65","46,90"
"2019","3","Catamarca","30,88","7,86"
"2019","3","Chaco","35,85","9,58"
"2019","3","Chubut","47,57","14,58"
"2019","3","Córdoba","68,59","21,00"
"2019","3","Corrientes","38,49","10,13"
"2019","3","Entre Ríos","57,90","17,31"
"2019","3","Formosa","30,11","7,66"
"2019","3","Jujuy","44,32","11,33"
"2019","3","La Pampa","77,45","25,52"
"2019","3","La Rioja","47,94","12,76"
"2019","3","Mendoza","40,74","11,37"
"2019","3","Misiones","39,33","10,71"
"2019","3","Neuquén","64,14","19,09"
"2019","3","Río Negro","63,42","19,51"
"2019","3","Salta","44,48","10,77"
"2019","3","San Juan","37,06","9,44"
"2019","3","San Luis","85,23","24,39"
