ID_Acceso_UT;ID_Localidad;ID_Tecnologia;Accesos
359;6091010;SATELITAL;11
360;6091010;ADSL;1332
361;6091010;CABLEMODEM;2402
362;6091010;FIBRA OPTICA;673
363;6091010;SATELITAL;78
364;6091010;WIRELESS;16
365;6091010;ADSL;23
366;6091010;CABLEMODEM;5662
367;6091010;DIAL UP;2
368;6091010;FIBRA OPTICA;10918
369;6091010;Otros;2
370;6091010;SATELITAL;81
371;6091010;ADSL;30
372;6091010;CABLEMODEM;1814
373;6091010;DIAL UP;2
374;6091010;FIBRA OPTICA;7280
375;6091010;Otros;1
376;6091010;SATELITAL;67
377;6091010;WIRELESS;90
378;6091010;CABLEMODEM;243
379;6091010;DIAL UP;1
380;6091010;FIBRA OPTICA;575
381;6091010;SATELITAL;10
382;6091010;CABLEMODEM;1625
383;6091010;FIBRA OPTICA;2413
384;6091010;SATELITAL;23
385;6091010;ADSL;8
386;6091010;CABLEMODEM;2736
387;6091010;DIAL UP;12
388;6091010;FIBRA OPTICA;8797
389;6091010;SATELITAL;47
390;6091010;ADSL;1
391;6091010;CABLEMODEM;936
392;6091010;FIBRA OPTICA;2419
393;6091010;Otros;1
394;6091010;SATELITAL;4
395;6098010;SATELITAL;10
396;6098010;FIBRA OPTICA;132
397;6098010;SATELITAL;2
398;6098010;WIRELESS;250
399;6098010;ADSL;1603
400;6098010;CABLEMODEM;15175
401;6098010;DIAL UP;17
402;6098010;FIBRA OPTICA;7867
403;6098010;SATELITAL;15
404;6098010;WIRELESS;630
405;6098010;SATELITAL;12
406;6098010;FIBRA OPTICA;132
407;6098010;SATELITAL;2
408;6098010;WIRELESS;250
409;6098010;SATELITAL;3
410;6098010;FIBRA OPTICA;132
411;6098010;WIRELESS;250
412;6098010;SATELITAL;2
413;6098010;FIBRA OPTICA;132
414;6098010;WIRELESS;250
415;6098010;SATELITAL;12
416;6105010;ADSL;10
417;6105010;SATELITAL;26
418;6105020;FIBRA OPTICA;1
419;6105020;SATELITAL;5
420;6105060;SATELITAL;8
421;1000001;CABLEMODEM;1
422;1000001;FIBRA OPTICA;1
423;6105040;SATELITAL;7
424;6105050;Otros;50
425;6105050;SATELITAL;10
426;6105050;WIRELESS;64
427;6105060;ADSL;480
428;6105060;CABLEMODEM;4942
429;6105060;DIAL UP;2
430;6105060;FIBRA OPTICA;10
431;6105060;SATELITAL;87
432;6105060;WIRELESS;255
433;6105070;DIAL UP;4
434;6105070;FIBRA OPTICA;2
435;6105070;SATELITAL;14
436;6105070;WIRELESS;77
437;6105080;SATELITAL;10
438;6112005;SATELITAL;3
439;6112010;ADSL;292
440;6112010;CABLEMODEM;2511
441;6112010;DIAL UP;9
442;6112010;FIBRA OPTICA;284
443;6112010;SATELITAL;51
444;6112010;WIRELESS;211
445;6112020;FIBRA OPTICA;220
446;6112020;SATELITAL;1
447;6112020;WIRELESS;2
448;6112030;ADSL;321
449;6112030;FIBRA OPTICA;84
450;6112030;SATELITAL;16
451;6112030;WIRELESS;34
452;6112040;SATELITAL;6
453;6112040;WIRELESS;19
454;6112050;SATELITAL;7
455;6112060;SATELITAL;3
456;6112070;ADSL;10
457;6112070;CABLEMODEM;8
458;6112070;SATELITAL;3
459;6112070;WIRELESS;5
460;6112080;SATELITAL;3
461;6112080;WIRELESS;40
462;6112090;ADSL;135
463;6112090;Otros;9
464;6112090;SATELITAL;15
465;6112090;WIRELESS;7
466;6119010;SATELITAL;5
467;6119015;SATELITAL;39
468;6119020;SATELITAL;25
469;6119030;SATELITAL;14
470;6119040;SATELITAL;14
471;6119045;SATELITAL;37
472;6119055;SATELITAL;7
473;6119050;ADSL;40
474;6119050;CABLEMODEM;421
475;6119050;FIBRA OPTICA;4792
476;6119050;SATELITAL;119
477;6119050;WIRELESS;1208
478;6119060;SATELITAL;11
479;6119070;ADSL;815
480;6119070;FIBRA OPTICA;2
481;6119070;SATELITAL;9
482;6119080;SATELITAL;8
483;6119085;SATELITAL;119
484;6119090;SATELITAL;15
485;6126010;FIBRA OPTICA;319
486;6126010;SATELITAL;45
487;6126010;WIRELESS;41
488;6126020;SATELITAL;64
489;6126020;WIRELESS;60
490;6126030;ADSL;436
491;6126030;CABLEMODEM;18889
492;6126030;DIAL UP;1
493;6126030;FIBRA OPTICA;13885
494;6126030;Otros;90
495;6126030;SATELITAL;140
496;6126030;WIRELESS;1220
497;6126035;SATELITAL;61
498;6126035;WIRELESS;35
499;6126040;CABLEMODEM;57
500;6126040;SATELITAL;112
501;6134010;CABLEMODEM;925
502;6134010;DIAL UP;5
503;6134010;FIBRA OPTICA;626
504;6134010;SATELITAL;73
505;6134010;WIRELESS;10
506;6134030;SATELITAL;23
507;6134030;WIRELESS;20
508;6134020;FIBRA OPTICA;235
509;6134020;SATELITAL;2
510;6134030;ADSL;19
511;6134030;CABLEMODEM;4483
512;6134030;DIAL UP;28
513;6134030;FIBRA OPTICA;6976
514;6134030;SATELITAL;105
515;6134030;WIRELESS;509
516;6134040;FIBRA OPTICA;1
517;6134040;SATELITAL;18
518;6134040;WIRELESS;40
519;6134050;CABLEMODEM;1806
520;6134050;FIBRA OPTICA;1861
521;6134050;WIRELESS;160
522;6134060;FIBRA OPTICA;3055
523;6134060;SATELITAL;35
524;6134060;WIRELESS;150
525;6134070;ADSL;53
526;6134070;FIBRA OPTICA;819
527;6134070;SATELITAL;35
528;6134070;WIRELESS;114
529;6134080;ADSL;89
530;6134080;DIAL UP;2
531;6134080;FIBRA OPTICA;304
532;6134080;SATELITAL;30
533;6134080;WIRELESS;5
534;6140010;ADSL;78
535;6140010;CABLEMODEM;3847
536;6140010;FIBRA OPTICA;138
537;6140010;SATELITAL;43
538;6140010;WIRELESS;530
539;6140020;SATELITAL;14
540;6140020;WIRELESS;44
541;6147010;DIAL UP;1
542;6147010;SATELITAL;11
543;6147020;Otros;1
544;6147020;SATELITAL;6
545;6147020;WIRELESS;48
546;6147030;ADSL;737
547;6147030;CABLEMODEM;12
548;6147030;DIAL UP;6
549;6147030;FIBRA OPTICA;2124
550;6147030;SATELITAL;52
551;6147030;WIRELESS;2461
552;6147040;SATELITAL;4
553;6147050;SATELITAL;5
554;6147060;SATELITAL;3
555;6147060;WIRELESS;1
556;6147070;SATELITAL;1
557;6147070;WIRELESS;47
558;6147080;SATELITAL;8
559;6147080;WIRELESS;161
560;6147090;SATELITAL;9
561;6147095;WIRELESS;44
562;6147100;SATELITAL;4
563;6147100;WIRELESS;190
564;6154010;ADSL;11
565;6154010;CABLEMODEM;1270
566;6154010;DIAL UP;1
567;6154010;FIBRA OPTICA;70
568;6154010;SATELITAL;15
569;6154010;WIRELESS;493
570;6154020;FIBRA OPTICA;99
571;6154020;SATELITAL;6
572;6154020;WIRELESS;77
573;6154030;SATELITAL;5
574;6154030;WIRELESS;16
575;6154040;SATELITAL;10
576;6154040;WIRELESS;61
577;6154050;SATELITAL;22
578;6154050;WIRELESS;198
579;6161010;ADSL;207
580;6161010;CABLEMODEM;1621
581;6161010;DIAL UP;5
582;6161010;FIBRA OPTICA;8
583;6161010;SATELITAL;83
584;6161010;WIRELESS;1045
585;6161020;SATELITAL;5
586;6161020;WIRELESS;31
587;6161030;SATELITAL;17
588;6161030;WIRELESS;107
589;6168010;ADSL;30
590;6168010;CABLEMODEM;1109
591;6168010;FIBRA OPTICA;1121
592;6168010;SATELITAL;32
593;6168010;WIRELESS;28
594;6168020;FIBRA OPTICA;46
595;6168020;SATELITAL;18
596;6168020;WIRELESS;3
597;6168030;FIBRA OPTICA;7
598;6168030;SATELITAL;13
599;6210010;SATELITAL;8
600;6210010;WIRELESS;274
601;6210020;ADSL;783
602;6210020;CABLEMODEM;9807
603;6210020;DIAL UP;14
604;6210020;FIBRA OPTICA;2963
605;6210020;SATELITAL;69
606;6210020;WIRELESS;130
607;6210030;SATELITAL;10
608;6210040;ADSL;260
609;6210040;FIBRA OPTICA;221
610;6210040;SATELITAL;17
611;6210040;WIRELESS;12
612;6210050;ADSL;50
613;6210050;FIBRA OPTICA;456
614;6210050;Otros;17
615;6210050;SATELITAL;30
616;6210050;WIRELESS;125
617;6217003;SATELITAL;39
618;6217020;FIBRA OPTICA;132
619;6217020;SATELITAL;60
620;6217010;ADSL;1076
621;6217010;CABLEMODEM;8022
622;6217010;DIAL UP;72
623;6217010;FIBRA OPTICA;1168
624;6217010;SATELITAL;112
625;6217015;SATELITAL;22
626;6217020;ADSL;70
627;6217020;CABLEMODEM;1974
628;6217020;FIBRA OPTICA;18
629;6217020;SATELITAL;161
630;6217020;WIMAX;444
631;6217030;SATELITAL;25
632;6224005;SATELITAL;8
633;6224005;WIRELESS;19
634;6224010;ADSL;1132
635;6224010;CABLEMODEM;9112
636;6224010;DIAL UP;107
637;6224010;FIBRA OPTICA;4531
638;6224010;SATELITAL;207
639;6224010;WIRELESS;5530
640;6224020;SATELITAL;4
641;6224020;WIRELESS;5
642;6224030;ADSL;55
643;6224030;SATELITAL;13
644;6224030;WIRELESS;2
645;6224040;ADSL;48
646;6224040;SATELITAL;4
647;6224040;WIRELESS;97
648;6224050;CABLEMODEM;338
649;6224050;FIBRA OPTICA;576
650;6224050;SATELITAL;10
651;6224050;WIRELESS;30
652;6224060;ADSL;3
653;6224060;SATELITAL;3
654;6224060;WIRELESS;77
655;6224070;ADSL;3
656;6224070;WIRELESS;49
657;6175010;ADSL;3796
658;6175010;CABLEMODEM;1844
659;6175010;FIBRA OPTICA;5700
660;6175010;SATELITAL;57
661;6175010;WIRELESS;20
662;6175010;SATELITAL;7
663;6175030;SATELITAL;8
664;6175040;SATELITAL;4
665;6175040;WIRELESS;15
666;6182010;FIBRA OPTICA;25
667;6182010;SATELITAL;14
668;6182010;WIRELESS;49
669;6182020;SATELITAL;26
670;6182025;SATELITAL;13
671;6182025;WIRELESS;28
672;6182030;ADSL;397
673;6182030;CABLEMODEM;21591
674;6182030;DIAL UP;45
675;6182030;FIBRA OPTICA;10
676;6182030;SATELITAL;98
677;6182030;FIBRA OPTICA;101
678;6182030;SATELITAL;7
